Data,Vazões
01/01/2016,68.006
02/01/2016,49.99800000000001
03/01/2016,90.98
04/01/2016,94.87700000000001
05/01/2016,96.191
06/01/2016,127.12299999999999
07/01/2016,115.434
08/01/2016,105.618
09/01/2016,77.318
10/01/2016,85.899
11/01/2016,73.764
12/01/2016,182.282
13/01/2016,249.57
14/01/2016,307.509
15/01/2016,322.651
16/01/2016,391.171
17/01/2016,388.45
18/01/2016,865.2810000000003
19/01/2016,685.118
20/01/2016,487.57800000000003
21/01/2016,421.538
22/01/2016,418.745
23/01/2016,325.199
24/01/2016,317.575
25/01/2016,280.42400000000004
26/01/2016,275.595
27/01/2016,261.286
28/01/2016,263.652
29/01/2016,280.42400000000004
30/01/2016,280.42400000000004
01/02/2016,261.286
02/02/2016,249.57
03/02/2016,300.035
04/02/2016,302.519
05/02/2016,295.089
06/02/2016,249.57
07/02/2016,263.652
08/02/2016,275.595
09/02/2016,383.029
10/02/2016,399.37300000000016
11/02/2016,343.236
12/02/2016,270.796
13/02/2016,249.57
14/02/2016,238.044
15/02/2016,235.762
16/02/2016,231.222
17/02/2016,235.762
18/02/2016,247.24900000000002
19/02/2016,244.93599999999998
20/02/2016,238.044
21/02/2016,244.93599999999998
22/02/2016,238.044
23/02/2016,261.286
24/02/2016,261.286
25/02/2016,270.796
26/02/2016,270.796
27/02/2016,251.898
28/02/2016,226.71200000000002
29/02/2016,282.85
01/03/2016,270.796
02/03/2016,242.63099999999997
03/03/2016,268.407
04/03/2016,254.234
05/03/2016,315.048
06/03/2016,295.089
07/03/2016,312.528
08/03/2016,369.594
09/03/2016,325.199
10/03/2016,290.171
11/03/2016,280.42400000000004
12/03/2016,268.407
13/03/2016,280.42400000000004
14/03/2016,292.626
15/03/2016,290.171
16/03/2016,278.006
17/03/2016,278.006
18/03/2016,268.407
19/03/2016,261.286
20/03/2016,247.24900000000002
21/03/2016,238.044
22/03/2016,226.71200000000002
23/03/2016,222.235
24/03/2016,220.00799999999998
25/03/2016,217.78799999999998
26/03/2016,290.171
27/03/2016,242.63099999999997
28/03/2016,295.089
29/03/2016,295.089
30/03/2016,251.898
31/03/2016,254.234
01/04/2016,79.729
02/04/2016,71.436
03/04/2016,66.87899999999999
04/04/2016,62.456
05/04/2016,63.549
06/04/2016,51.989
07/04/2016,42.382
08/04/2016,42.382
09/04/2016,43.303000000000004
10/04/2016,46.12
11/04/2016,47.077
12/04/2016,42.382
13/04/2016,42.382
14/04/2016,42.382
15/04/2016,41.468999999999994
16/04/2016,40.565
17/04/2016,40.565
18/04/2016,39.67
19/04/2016,37.907
20/04/2016,37.039
21/04/2016,36.179
22/04/2016,35.329
23/04/2016,35.329
24/04/2016,35.329
25/04/2016,34.486999999999995
26/04/2016,34.486999999999995
27/04/2016,35.329
28/04/2016,33.655
29/04/2016,34.486999999999995
30/04/2016,33.655
01/05/2016,35.329
02/05/2016,35.329
03/05/2016,35.329
04/05/2016,34.486999999999995
05/05/2016,32.830999999999996
06/05/2016,32.016999999999996
07/05/2016,32.016999999999996
08/05/2016,32.016999999999996
09/05/2016,31.211
10/05/2016,30.415
11/05/2016,30.415
12/05/2016,30.415
13/05/2016,36.179
14/05/2016,33.655
15/05/2016,33.655
16/05/2016,36.179
17/05/2016,33.655
18/05/2016,33.655
19/05/2016,33.655
20/05/2016,36.179
21/05/2016,40.565
22/05/2016,44.233999999999995
23/05/2016,39.67
24/05/2016,38.784
25/05/2016,38.784
26/05/2016,37.039
27/05/2016,35.329
28/05/2016,32.830999999999996
29/05/2016,34.486999999999995
30/05/2016,37.039
31/05/2016,36.179
01/06/2016,35.329
02/06/2016,38.784
03/06/2016,44.233999999999995
04/06/2016,58.167
